,P_Ben,P_Del,P_Inc,P_Dec,AvgFitness
0,0.4108,0.4266,0.3969,0.3969,1e-05
1,0.3155,0.6217,0.4602,0.4602,0.0004369322048403433
2,0.4608,0.4623,0.4447,0.4447,0.0001
3,0.3155,0.6217,0.4602,0.4602,0.018785229819408455
4,0.3155,0.4623,0.4102,0.4102,0.0009002047231634353
5,0.3155,0.4623,0.4915,0.4915,0.0012353215693926471
6,0.3155,0.4623,0.4915,0.4915,5e-06
7,0.3155,0.6217,0.4915,0.4915,5.0003669419184075e-05
8,0.3155,0.6217,0.4602,0.4602,0.00023893374463137762
9,0.4608,0.4623,0.4602,0.4602,0.00015254778384901478
