#mut  pm+  pm-  pim  pdm  msc col
0.00005 0.01 0.99 0.99 0.01 0.00001 LightGray
0.00005 0.01 0.99 0.99 0.01 0.0001 Gray
0.00005 0.01 0.99 0.99 0.01 0.001 LightSkyBlue
0.00005 0.01 0.99 0.99 0.01 0.01 RoyalBlue
0.00005 0.01 0.99 0.99 0.01 0.1 LightSeaGreen
0.00005 0.01 0.99 0.99 0.01 1 MediumSeaGreen
0.00005 0.01 0.99 0.99 0.01 10 Khaki
0.00005 0.01 0.99 0.99 0.01 20 Goldenrod
0.00005 0.01 0.99 0.99 0.01 50 Tomato
0.00005 0.01 0.99 0.99 0.01 100 PaleVioletRed
0.00005 0.01 0.99 0.99 0.01 500 DarkViolet
